id,price_doc
30474,6669251
30475,8118876
30476,7119322
30477,3354645
30478,6818023
30479,7955315
30480,7853280
30481,4154597
30482,8075702
30483,7470958
30484,6416370
30485,6744106
30486,7846248
30487,6716935
30488,3031665
30489,4002614
30490,8480537
30491,8439261
30492,7606459
30493,7936624
30494,8168407
30495,8234769
30496,8327723
30497,8262969
30498,7263432
30499,7992634
30500,8324099
30501,8165134
30502,7054429
30503,6396153
30504,7562314
30505,8429474
30506,4794368
30507,6849594
30508,8214688
30509,7545651
30510,7303360
30511,8131999
30512,7792316
30513,7868729
30514,6744430
30515,7243253
30516,6844585
30517,8235399
30518,7548650
30519,7354730
30520,7226621
30521,6778954
30522,8175857
30523,7662789
30524,6740307
30525,7200034
30526,6929213
30527,3832563
30528,7891676
30529,7772387
30530,7305182
30531,8395621
30532,4435609
30533,8135612
30534,8153256
30535,7266044
30536,3860588
30537,8385812
30538,6676940
30539,8461837
30540,7292502
30541,8111653
30542,4799613
30543,7887800
30544,7965644
30545,7673686
30546,3800402
30547,8037078
30548,3771028
30549,5903735
30550,6595410
30551,7023470
30552,4799509
30553,8078480
30554,8311633
30555,8341534
30556,7913218
30557,7455869
30558,8140856
30559,7893027
30560,7784104
30561,8076953
30562,8203402
30563,7422536
30564,7986700
30565,8186355
30566,4628123
30567,4799594
30568,8185995
30569,7918605
30570,7649170
30571,7588518
30572,6945161
30573,6392531
30574,6939969
30575,6806132
30576,6716935
30577,7936284
30578,4790142
30579,7642273
30580,6005100
30581,4311132
30582,8256296
30583,8153256
30584,5702677
30585,6343576
30586,8263160
30587,4061085
30588,7140233
30589,7832736
30590,7499657
30591,7906273
30592,7457379
30593,8329843
30594,8450590
30595,7775259
30596,7034687
30597,6392531
30598,7309804
30599,8430026
30600,8078836
30601,7888276
30602,4799613
30603,7897127
30604,7832540
30605,6518459
30606,8449066
30607,6864765
30608,7327119
30609,4029659
30610,7017787
30611,8214688
30612,8195002
30613,7695059
30614,8266697
30615,7550056
30616,8225386
30617,7357603
30618,5814754
30619,7317910
30620,4802075
30621,8064801
30622,8135671
30623,7992693
30624,6120438
30625,8157976
30626,7996599
30627,7291736
30628,6414394
30629,7880935
30630,7505842
30631,7688239
30632,2756207
30633,7229335
30634,8403987
30635,7307395
30636,7038261
30637,7309001
30638,7712533
30639,6604737
30640,4414047
30641,8412650
30642,6553115
30643,8210194
30644,7325420
30645,7824310
30646,5861912
